"New Relic Observability Platform
FedRAMP Moderate Customer Responsibility Matrix (CRM) Worksheet",,
"This CRM provides details for a Customer of what their responsibilities are for a given control, including responsibilities for optional services (applicable depending on which services the customer acquires).  The CRM contains information for what a Customer needs to implement in order to obtain and maintain their authorization/certification. The Customer responsibility outlines the remaining controls that need to be implemented by the leveraging entity for compliance. 


GUIDANCE: 
SA-10(c),Yes,
SA-10(d),Yes,
SA-10(e),Yes,
SA-11(a),Yes,
SA-11(b),Yes,
SA-11(c),Yes,
SA-11(d),Yes,
SA-11(e),Yes,
SA-11(1),Yes,
SA-11(2)(a),Yes,
SA-11(2)(b),Yes,
SA-11(2)(c),Yes,
SA-11(2)(d),Yes,
SA-15(a),Yes,
SA-15(b),Yes,
SA-15(3)(a),Yes,
SA-15(3)(b),Yes,
SA-22(a),Yes,
SA-22(b),Yes,
SC-1(a),No,Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
SC-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
SC-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customer’s policy and procedure management lifecycle.
SC-2,Yes,
SC-4,Yes,
SC-5(a),Yes,
SC-5(b),Yes,
SC-7(a),Yes,
SC-7(b),Yes,
SC-7(c),Partial,"Customers should adjust their configuration settings to send data with New Relic agents, integrations, and APIs to the relevant FedRAMP endpoint as described in FedRAMP compliant endpoints. "
SC-7(3),Yes,
SC-7(4)(a),Yes,
SC-7(4)(b),Yes,
SC-7(4)(c),Yes,
SC-7(4)(d),Yes,
SC-7(4)(e),Yes,
SC-7(4)(f),Yes,
SC-7(4)(g),Yes,
SC-7(4)(h),Yes,
SC-7(5),Yes,
SC-7(7),Yes,
SC-7(8),Yes,
SC-7(12),Yes,
SC-7(18),Yes,
SC-8,Partial,"Customers must ensure that they comply with requirements for using New Relic’s FedRAMP environment, and then use New Relic FedRAMP-compliant endpoints to get data into the platform via agent configuration or API. New Relic has created dedicated “FedRAMP compliant endpoints” for Customer traffic. All traffic to and through these endpoints are encrypted using TLS1.2.

The agents implement cryptographic mechanisms to prevent the unauthorized disclosure of information during transmission through library dependencies and code development.  Please refer to section “Installation and Configuration” on https://docs.newrelic.com/ for more information."
SC-8(1),Partial,"Customers must ensure that they comply with requirements for using New Relic’s FedRAMP environment, and then use New Relic FedRAMP-compliant endpoints to get data into the platform via agent configuration or API. All traffic to and through these endpoints are encrypted using TLS 1.2 or above. The agents implement cryptographic mechanisms to prevent the unauthorized disclosure of information during transmission through library dependencies and code development.  Please refer to section “Installation and Configuration” on https://docs.newrelic.com/ for more information."
SC-10,Partial,Customers should ensure that their organization’s corporate network or virtual private network is configured to terminate network connection after the required period of inactivity.
SC-12,Yes,
SC-13(a),Yes,
SC-13(b),Yes,
SC-15(a),Yes,
SC-15(b),Yes,
SC-17(a),No,Customers are responsible for configuring their web browsers and workstations to prohibit unencrypted communications and ensuring they have implemented the appropriate trusted Certificate Authorities.
SC-17(b),No,Customers are responsible for including only approved trust anchors in trust stores or certificate stores managed by their organization.
SC-18(a),Yes,
SC-18(b),Yes,
SC-20(a),Yes,
SC-20(b),Yes,
SC-21,Yes,
SC-22,Yes,
SC-23,No,"Customers must upgrade to an operating system and/or TLS stack that supports TLS 1.2 or above.  Customers accessing http://api.newrelic.com with clients not configured to follow redirects should ensure that their clients specify the https:// scheme (as opposed to http://), or that they are configured to follow redirects, such as by using the `-L` flag when using cURL."
SC-28,Yes,
SC-28(1),Yes,
SC-39,Yes,
SC-45,Yes,
SC-45(1)(a),Yes,
SC-45(1)(b),Yes,
SI-1(a),No,"Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
"
SI-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
SI-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customer’s policy and procedure management lifecycle.
SI-2(a),Yes,
SI-2(b),Yes,
SI-2(c),Yes,
SI-2(d),Yes,
SI-2(2),Yes,
SI-2(3)(a),Yes,
SI-2(3)(b),Yes,
SI-3(a),Yes,
SI-3(b),Yes,
SI-3(c),Yes,
SI-3(d),Yes,
SI-4(a),Yes,
SI-4(b),Yes,
SI-4(c),Yes,
SI-4(d),Yes,
SI-4(e),Yes,
SI-4(f),Yes,
SI-4(g),Yes,
SI-4(1),Yes,
SI-4(2),Yes,
SI-4(4)(a),Yes,
SI-4(4)(b),Yes,
SI-4(5),Yes,
SI-4(16),Yes,
SI-4(18),Yes,
SI-4(23),Yes,
SI-5(a),Yes,
SI-5(b),Yes,
SI-5(c),Yes,
SI-5(d),Yes,
SI-6(a),Yes,
SI-6(b),Yes,
SI-6(c),Yes,
SI-6(d),Yes,
SI-7(a),Yes,
SI-7(b),Yes,
SI-7(1),Yes,
SI-7(7),Yes,
SI-8(a),Yes,
SI-8(b),Yes,
SI-8(2),Yes,
SI-10,Yes,
SI-11(a),Yes,
SI-11(b),Yes,
SI-12,Yes,
SI-16,Yes,
SR-1(a),No,"Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
"
SR-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
SR-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customer’s policy and procedure management lifecycle.
SR-2(a),Yes,
SR-2(b),Yes,
SR-2(c),Yes,
SR-2(1),Partial,"If a Customers uses New Relic’s SAML SSO and/or SCIM feature, they must ensure that their identity and access management infrastructure validates certificates."
SR-3(a),Yes,
SR-3(b),Yes,
SR-3(c),Yes,
SR-5,Yes,
SR-6,Partial,Customers should assess and review supply chain-related risks associated with their use of the system at least annually to satisfy this control. This may be inheritable from a Customer’s common control program.
SR-8,Partial,Customers should establish necessary agreements and procedures to satisfy this control. This may be inheritable from a Customer’s common control program. 
SR-10,Yes,
SR-11(a),Yes,
SR-11(b),Yes,
SR-11(1),Yes,
SR-11(2),Yes,
SR-12,Yes,
